,winner,losser,winner_name,losser_name
1319,47,41,['Stanislas-Wawrinka'],['Nikolay-Davydenko']
1320,61,42,['Adrian-Mannarino'],['Gilles-Simon']
1321,61,42,['Adrian-Mannarino'],['Gilles-Simon']
1322,42,91,['Gilles-Simon'],['Albert-Montanes']
1323,42,91,['Gilles-Simon'],['Albert-Montanes']
1324,91,42,['Albert-Montanes'],['Gilles-Simon']
1325,46,42,['Marcel-Granollers'],['Gilles-Simon']
1326,42,81,['Gilles-Simon'],['Yen-Hsun-Lu']
1327,42,81,['Gilles-Simon'],['Yen-Hsun-Lu']
1328,42,81,['Gilles-Simon'],['Yen-Hsun-Lu']
1329,42,77,['Gilles-Simon'],['Jurgen-Melzer']
1330,77,42,['Jurgen-Melzer'],['Gilles-Simon']
1331,42,48,['Gilles-Simon'],['Janko-Tipsarevic']
1332,42,48,['Gilles-Simon'],['Janko-Tipsarevic']
1333,65,42,['Philipp-Petzschner'],['Gilles-Simon']
1334,42,55,['Gilles-Simon'],['Sergiy-Stakhovsky']
1335,42,53,['Gilles-Simon'],['Mikhail-Youzhny']
1336,42,53,['Gilles-Simon'],['Mikhail-Youzhny']
1337,53,42,['Mikhail-Youzhny'],['Gilles-Simon']
1338,42,43,['Gilles-Simon'],['Nicolas-Almagro']
1339,42,93,['Gilles-Simon'],['Jeremy-Chardy']
1340,79,42,['Juan-Ignacio-Chela'],['Gilles-Simon']
1341,42,51,['Gilles-Simon'],['Carlos-Berlocq']
1342,42,90,['Gilles-Simon'],['Thomaz-Bellucci']
1343,74,42,['Potito-Starace'],['Gilles-Simon']
1344,42,58,['Gilles-Simon'],['Pablo-Cuevas']
1345,42,95,['Gilles-Simon'],['Lukas-Rosol']
1346,42,80,['Gilles-Simon'],['Viktor-Troicki']
1347,49,43,['Andreas-Seppi'],['Nicolas-Almagro']
1348,43,70,['Nicolas-Almagro'],['Tommy-Robredo']
1349,43,70,['Nicolas-Almagro'],['Tommy-Robredo']
1350,53,43,['Mikhail-Youzhny'],['Nicolas-Almagro']
1351,53,43,['Mikhail-Youzhny'],['Nicolas-Almagro']
1352,43,73,['Nicolas-Almagro'],['Albert-Ramos']
1353,43,91,['Nicolas-Almagro'],['Albert-Montanes']
1354,91,43,['Albert-Montanes'],['Nicolas-Almagro']
